Factor,ansible,baystation12,cocos2d_x,coreclr,corefx,elasticsearch,kubernetes,neo4j,nixpkgs,origin,prestashop,rails,roslyn,sylius,symfony,wp_calypso,xbmc
contributor,,,,,,,,,,,,0%'/1,,,3%'/2,,
author,1%'/1,,23%***/2,,,,,,8%*/1,33%***/2,,,,23%***/4,,,10%'/2
commentor,,,,,,,,,,,,,,,,,
integrator,4%'/2,19%**/2,9%***/1,15%***/2,3%*/4,,11%***/2,9%***/3,0%'/1,1%'/1,11%**/1,26%**/1,17%***/4,1%'/1,13%*/2,6%'/3,
churn,,0%'/1,,3%*/1,1%'/2,,3%**/2,0%'/2,,0%'/1,,,4%*/2,0%'/1,,9%**/2,
entropy,0%'/1,1%'/1,1%'/1,13%***/2,1%'/1,0%'/1,0%'/1,0%'/1,1%'/1,0%'/1,10%**/1,0%'/1,2%*/1,1%'/1,0%'/1,0%'/1,1%'/1
jjj,14%***/1,0%'/1,1%'/1,,5%***/1,5%*/2,1%'/1,9%***/2,1%'/1,,3%'/1,1%'/1,0%'/2,0%'/1,1%'/1,1%'/1,21%***/1
jnj,4%'/1,0%'/1,1%'/1,0%'/1,1%'/1,5%'/4,0%'/1,,1%'/1,0%'/1,5%*/1,0%'/1,1%'/1,0%'/1,0%'/1,0%'/1,7%'/1
njj,0%'/1,1%'/1,3%*/1,9%***/2,2%*/2,7%*/4,10%***/2,5%*/3,2%'/1,,4%'/1,0%'/1,0%'/1,0%'/1,1%'/1,4%*/1,1%'/1
nnj,0%'/1,1%'/1,2%'/1,6%**/1,1%'/1,2%'/4,9%***/1,0%'/1,0%'/1,9%***/1,1%'/1,3%'/1,4%**/2,0%'/1,1%'/1,4%'/2,2%'/1
jjn,22%***/1,0%'/1,0%'/1,5%**/1,0%'/1,0%'/1,0%'/1,1%'/1,0%'/1,0%'/1,1%'/1,0%'/1,2%'/1,0%'/1,5%'/1,2%'/1,4%'/1
jnn,13%***/1,4%'/1,3%*/1,11%***/2,1%'/4,6%*/2,2%*/2,2%'/1,4%'/1,0%'/2,4%*/1,0%'/1,9%***/2,1%'/1,1%'/1,1%'/2,6%'/1
njn,5%*/1,5%'/1,3%*/1,5%**/1,3%**/1,24%***/4,1%'/1,1%'/2,,0%'/1,,2%'/1,4%*/2,0%'/1,0%'/1,6%*/2,5%'/1
nnn,,,,14%***/3,,,,1%'/4,1%'/1,,19%***/1,,,,,,
top_iso,,1%'/1,,,5%***/1,,,,,,,,5%***/1,,,,
top_rso,2%'/1,7%*/1,6%***/1,7%**/2,3%***/1,4%'/2,,1%'/1,0%'/1,0%'/1,0%'/1,,0%'/1,1%'/1,,1%'/2,1%'/1
top_tco,15%***/1,12%**/1,6%**/2,,0%'/1,,2%'/2,1%'/1,3%'/1,3%'/2,1%'/1,8%'/1,0%'/1,0%'/1,0%'/1,0%'/1,1%'/1
size,0%'/1,8%*/1,36%***/2,3%*/1,1%*/1,0%'/1,10%***/2,49%***/4,1%'/1,1%'/1,1%'/1,10%'/1,10%***/2,2%'/1,20%***/1,22%***/2,7%*/1
