module,contributor,author,commentor,integrator,churn,entropy,p1,p2,p3,p4,p5,p6,p7,p8,top_iso,top_rso,top_tco
0,2,1,2,1,2,\N,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,1.00000000000000000000,0.56000000000000000000,1.00000000000000000000
2,2,1,2,1,3,\N,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,1.00000000000000000000,0.56000000000000000000,1.00000000000000000000
3,2,1,2,1,2,\N,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,1.00000000000000000000,0.56000000000000000000,1.00000000000000000000
5,2,1,2,1,2,\N,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,1.00000000000000000000,0.56000000000000000000,1.00000000000000000000
6,2,1,2,1,2,\N,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,1.00000000000000000000,0.56000000000000000000,1.00000000000000000000
7,46,29,35,7,35023,0.794284,0.000000,0.000000,0.065217,0.021739,0.000000,0.043478,0.043478,0.826087,0.50000000000000000000,0.28664021164021164021,0.49604545584330297233
8,6,2,5,2,11,0.170021,0.000000,0.166667,0.166667,0.000000,0.166667,0.000000,0.166667,0.333333,0.75000000000000000000,0.45238095238095238095,0.90909090909090909091
9,2,1,2,1,9,\N,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,1.00000000000000000000,0.50000000000000000000,1.00000000000000000000
12,60,42,42,15,1733,0.794775,0.016667,0.000000,0.033333,0.033333,0.000000,0.083333,0.016667,0.816667,0.27200000000000000000,0.28121913867676579541,0.18176572417772648586
13,10,5,10,3,355,0.430301,0.100000,0.000000,0.100000,0.100000,0.300000,0.000000,0.200000,0.200000,0.66670000000000000000,0.33409257409257409257,0.41408450704225352113
14,29,18,20,10,674,0.525391,0.068966,0.000000,0.103448,0.068966,0.000000,0.137931,0.172414,0.448276,0.33330000000000000000,0.17647058823529411765,0.31454005934718100890
16,128,78,105,15,18625,0.837828,0.007812,0.015625,0.000000,0.007812,0.000000,0.015625,0.023438,0.929688,0.34250000000000000000,0.23470697441366301015,0.25261744966442953020
17,24,9,20,7,3699,0.063058,0.000000,0.000000,0.125000,0.166667,0.125000,0.041667,0.000000,0.541667,0.35000000000000000000,0.33477825374755199317,0.38929440389294403893
18,10,6,5,5,576,0.316599,0.100000,0.000000,0.100000,0.300000,0.100000,0.100000,0.200000,0.100000,0.33330000000000000000,0.35000000000000000000,0.59201388888888888889
19,68,39,48,14,3655,0.631774,0.000000,0.014706,0.029412,0.058824,0.000000,0.088235,0.000000,0.808824,0.22810000000000000000,0.18664668664668664669,0.25526675786593707250
20,29,14,20,9,108,0.309543,0.068966,0.034483,0.034483,0.034483,0.000000,0.103448,0.137931,0.586207,0.33330000000000000000,0.30208333333333333333,0.22222222222222222222
22,2,1,2,1,9,0.772507,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,1.00000000000000000000,0.59818181818181818182,1.00000000000000000000
23,2,1,2,1,7,0.373304,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,1.00000000000000000000,0.59818181818181818182,1.00000000000000000000
