module,contributor,author,commentor,integrator,churn,entropy,size,p1,p2,p3,p4,p5,p6,p7,p8,top_iso,top_rso,top_tco,status
1,71,42,69,39,23448,0.384039,0,0.028169,0.000000,0.028169,0.014085,0.014085,0.000000,0.014085,0.901408,0.21760000000000000000,0.09244084358381033573,0.72428352098259979529,TRUE
2,28,11,24,12,37020,0.049674,327,0.000000,0.000000,0.142857,0.071429,0.000000,0.035714,0.107143,0.642857,0.25000000000000000000,0.16145833333333333333,0.98287412209616423555,TRUE
3,78,45,73,32,494399,0.576489,5142,0.025641,0.012821,0.051282,0.025641,0.000000,0.000000,0.000000,0.884615,0.20910000000000000000,0.14682104992485539010,0.39105661621483862225,TRUE
4,106,73,102,54,27341,0.731502,106,0.009434,0.000000,0.018868,0.018868,0.000000,0.037736,0.000000,0.915094,0.24810000000000000000,0.16635318689673804361,0.31242456384184923741,TRUE
5,10,4,8,5,93,0.637387,0,0.300000,0.000000,0.100000,0.100000,0.000000,0.100000,0.300000,0.100000,0.25000000000000000000,0.25833333333333333333,0.52688172043010752688,FALSE
6,10,4,8,5,44,0.845351,0,0.100000,0.000000,0.300000,0.100000,0.000000,0.100000,0.300000,0.100000,0.25000000000000000000,0.25833333333333333333,0.81818181818181818182,FALSE
7,20,9,19,7,608,0.653980,1138,0.200000,0.050000,0.000000,0.100000,0.000000,0.100000,0.050000,0.500000,0.35710000000000000000,0.22766938943409531645,0.39473684210526315789,TRUE
8,93,39,90,22,19751,0.638876,451,0.010753,0.000000,0.010753,0.000000,0.010753,0.032258,0.010753,0.924731,0.60660000000000000000,0.32808898685831282349,0.47207736317148498810,TRUE
9,12,4,10,4,158,0.325693,0,0.083333,0.000000,0.000000,0.000000,0.166667,0.083333,0.500000,0.166667,0.87500000000000000000,0.20833333333333333333,0.48101265822784810127,FALSE
10,36,18,32,11,2178,0.789091,343,0.027778,0.027778,0.055556,0.027778,0.000000,0.083333,0.083333,0.694444,0.28570000000000000000,0.20152671451355661882,0.47658402203856749311,TRUE
12,10,4,8,4,522,,0,0.300000,0.000000,0.000000,0.100000,0.000000,0.100000,0.500000,0.000000,0.28570000000000000000,0.25000000000000000000,0.42911877394636015326,FALSE
13,21,7,19,10,4088,0.046458,89,0.047619,0.000000,0.095238,0.000000,0.000000,0.095238,0.000000,0.761905,0.58540000000000000000,0.51190476190476190476,0.78082191780821917808,TRUE
14,10,3,10,4,82,0.712064,22,0.300000,0.000000,0.100000,0.000000,0.000000,0.000000,0.100000,0.500000,0.25000000000000000000,0.25238095238095238095,0.57317073170731707317,TRUE
15,25,8,23,11,1254,,36,0.080000,0.000000,0.040000,0.000000,0.000000,0.080000,0.000000,0.800000,0.40630000000000000000,0.47193877551020408163,0.73365231259968102073,TRUE
16,26,10,24,12,1077,,33,0.076923,0.000000,0.038462,0.000000,0.000000,0.076923,0.000000,0.807692,0.39390000000000000000,0.45158730158730158730,0.72423398328690807799,TRUE
17,25,9,23,11,1419,,36,0.080000,0.000000,0.040000,0.000000,0.000000,0.080000,0.000000,0.800000,0.40000000000000000000,0.46715927750410509031,0.73713883016208597604,TRUE
18,8,2,8,2,15,,21,0.125000,0.000000,0.125000,0.000000,0.125000,0.000000,0.125000,0.500000,0.50000000000000000000,0.26086956521739130435,0.86666666666666666667,FALSE
19,9,2,7,3,204,,39,0.111111,0.000000,0.111111,0.111111,0.000000,0.111111,0.333333,0.222222,0.40000000000000000000,0.33333333333333333333,0.61764705882352941176,TRUE
21,38,13,35,13,613,0.800637,0,0.052632,0.000000,0.052632,0.000000,0.000000,0.078947,0.052632,0.763158,0.40630000000000000000,0.29496676163342830009,0.32626427406199021207,TRUE
