module,contributor,author,commentor,integrator,churn,entropy,p1,p2,p3,p4,p5,p6,p7,p8,top_iso,top_rso,top_tco
0,46,22,45,19,10551,0.519252,0.043478,0.000000,0.021739,0.043478,0.000000,0.043478,0.065217,0.782609,0.41330000000000000000,0.25159124894261240769,0.41180930717467538622
1,40,14,39,16,9950,0.790905,0.050000,0.000000,0.050000,0.050000,0.025000,0.000000,0.000000,0.825000,0.48480000000000000000,0.34018227997160737859,0.38241206030150753769
4,52,30,51,27,7822,0.686535,0.038462,0.038462,0.019231,0.019231,0.019231,0.019231,0.019231,0.826923,0.38160000000000000000,0.22185735399985166897,0.27077473791869087190
5,17,4,17,5,12,0.709148,0.176471,0.058824,0.058824,0.000000,0.000000,0.000000,0.176471,0.529412,0.41670000000000000000,0.20357142857142857143,0.41666666666666666667
6,12,5,11,4,852,0.940001,0.166667,0.166667,0.000000,0.000000,0.083333,0.000000,0.166667,0.416667,0.44440000000000000000,0.36420814479638009050,0.46009389671361502347
7,26,10,26,9,2403,0.840123,0.115385,0.038462,0.038462,0.000000,0.000000,0.076923,0.076923,0.653846,0.36840000000000000000,0.22513378939803998992,0.41989180191427382439
8,68,38,65,28,386597,0.365404,0.000000,0.000000,0.044118,0.029412,0.000000,0.014706,0.029412,0.882353,0.26790000000000000000,0.15773965001179334917,0.86427727064617676806
9,27,12,26,11,935,0.486699,0.148148,0.037037,0.037037,0.000000,0.037037,0.000000,0.074074,0.666667,0.31250000000000000000,0.12385867024412057646,0.19358288770053475936
10,60,36,59,32,31556,0.731790,0.033333,0.016667,0.033333,0.016667,0.016667,0.050000,0.016667,0.816667,0.25300000000000000000,0.14750478764399019816,0.24023957409050576752
11,28,16,28,15,350,0.157195,0.071429,0.035714,0.107143,0.107143,0.071429,0.035714,0.000000,0.571429,0.19440000000000000000,0.14166666666666666667,0.26857142857142857143
12,8,4,8,4,32,\N,0.375000,0.000000,0.125000,0.000000,0.125000,0.000000,0.375000,0.000000,0.25000000000000000000,0.20000000000000000000,0.25000000000000000000
13,42,24,37,21,43740,0.667521,0.095238,0.000000,0.000000,0.000000,0.000000,0.095238,0.000000,0.809524,0.30680000000000000000,0.20585850509251568138,0.15928212162780064015
14,54,25,52,23,122530,0.741581,0.092593,0.000000,0.000000,0.000000,0.000000,0.037037,0.018519,0.851852,0.29520000000000000000,0.17108961568660220834,0.20478250224434832286
15,46,24,45,23,48771,0.607096,0.065217,0.000000,0.065217,0.000000,0.000000,0.043478,0.000000,0.826087,0.30900000000000000000,0.18380937556058410332,0.22718418732443460253
16,65,29,65,26,28293,0.699745,0.046154,0.030769,0.030769,0.000000,0.015385,0.030769,0.015385,0.830769,0.29540000000000000000,0.16217992400473269805,0.19609090587777895593
17,46,25,45,22,2400,0.712974,0.043478,0.043478,0.000000,0.000000,0.000000,0.065217,0.043478,0.804348,0.36360000000000000000,0.19611376194447413819,0.20958333333333333333
18,51,26,49,24,14984,0.654189,0.078431,0.019608,0.000000,0.000000,0.000000,0.039216,0.019608,0.843137,0.31760000000000000000,0.18394190430794952853,0.18159369994660971703
19,47,23,46,22,5802,0.575753,0.042553,0.042553,0.000000,0.021277,0.021277,0.021277,0.042553,0.808511,0.26360000000000000000,0.15580452802400865814,0.14581178903826266805
20,35,20,35,17,2114,0.561860,0.057143,0.028571,0.028571,0.114286,0.057143,0.000000,0.057143,0.657143,0.25860000000000000000,0.10531483099907766619,0.19631031220435193945
21,40,22,39,21,8481,0.483876,0.025000,0.075000,0.050000,0.025000,0.050000,0.050000,0.050000,0.675000,0.26800000000000000000,0.16238303260915531630,0.18759580238179459969
22,24,11,23,12,558,0.676091,0.166667,0.041667,0.041667,0.041667,0.000000,0.083333,0.166667,0.458333,0.31030000000000000000,0.13141025641025641026,0.21863799283154121864
23,47,28,45,25,5629,0.484651,0.063830,0.000000,0.000000,0.000000,0.000000,0.063830,0.063830,0.808511,0.28250000000000000000,0.15205202492439358395,0.25439687333451767632
24,48,18,46,21,30335,0.629400,0.083333,0.000000,0.000000,0.000000,0.000000,0.041667,0.041667,0.833333,0.29450000000000000000,0.19912935317422338441,0.30380748310532388330
25,54,25,53,26,25582,0.806940,0.055556,0.018519,0.018519,0.000000,0.018519,0.037037,0.018519,0.833333,0.31660000000000000000,0.17551356594509217648,0.18520834962082714409
26,50,27,50,25,38985,0.711634,0.060000,0.020000,0.040000,0.020000,0.020000,0.040000,0.000000,0.800000,0.30040000000000000000,0.16600356736227241412,0.29452353469283057586
27,40,20,38,19,2754,0.702109,0.100000,0.000000,0.000000,0.075000,0.025000,0.050000,0.075000,0.675000,0.25000000000000000000,0.12222161704113114958,0.19208424110384894699
28,50,26,50,25,19057,0.724520,0.040000,0.020000,0.020000,0.020000,0.020000,0.060000,0.020000,0.800000,0.34620000000000000000,0.19757452460113087888,0.17090832764863304822
29,37,19,36,22,20312,0.723309,0.081081,0.027027,0.027027,0.054054,0.027027,0.027027,0.027027,0.729730,0.24760000000000000000,0.16638780568365828755,0.19298936589208349744
30,46,20,45,23,9230,0.542612,0.043478,0.000000,0.021739,0.021739,0.043478,0.043478,0.043478,0.782609,0.28320000000000000000,0.18589578021832522142,0.21310942578548212351
31,55,26,53,25,354501,0.430435,0.072727,0.000000,0.000000,0.018182,0.036364,0.036364,0.018182,0.818182,0.24370000000000000000,0.16300047772799314384,0.19720395711154552455
